XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
XX,16,00,00,23,00,00,00,12,00,00,00
37,00,00,00,00,00,00,00,07,00,00,00
22,00,00,00,00,00,XX,26,00,00,00,00
XX,17,00,00,XX,XX,17,00,00,08,00,00
33,00,00,00,00,00,00,00,17,00,00,00
13,00,00,07,00,00,00,04,00,00,XX,XX
XX,06,00,00,00,XX,XX,07,00,00,00,XX
XX,XX,03,00,00,07,00,00,00,16,00,00
12,00,00,00,34,00,00,00,00,00,00,00
08,00,00,03,00,00,XX,XX,17,00,00,XX
28,00,00,00,00,XX,22,00,00,00,00,00
10,00,00,00,37,00,00,00,00,00,00,00
23,00,00,00,23,00,00,00,14,00,00,XX

XX,XX,36,26,XX,19,11,12,XX,07,17,34
XX,17,00,00,16,00,00,00,XX,00,00,00
XX,00,00,00,00,00,00,00,17,00,00,00
XX,00,00,00,00,00,XX,12,00,00,00,00
XX,16,00,00,10,03,04,00,00,07,00,00
XX,00,00,00,00,00,00,00,10,00,00,00
XX,00,00,08,00,00,00,XX,00,00,37,XX
XX,XX,00,00,00,XX,04,03,00,00,00,17
XX,29,16,00,00,06,00,00,00,28,00,00
XX,00,00,00,09,00,00,00,00,00,00,00
XX,00,00,23,00,00,XX,19,16,00,00,17
XX,00,00,00,00,11,12,00,00,00,00,00
XX,00,00,00,XX,00,00,00,00,00,00,00
XX,00,00,00,XX,00,00,00,XX,00,00,XX
